"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
1,"Abaiara",8636,NA,600,2000,687,1140,4000,302970,10254,NA,2300101,180.833,10038,55.51,96.7,0.628,"6.71",59768531.11,54988291.19,9859.67,"CE"
2,"Acarape",2300,NA,160,550,150,180,400,24000,11509,NA,2300150,130.002,14027,107.9,96.8,0.606,"10.87",71665247.15,69187520.62,11888.66,"CE"
3,"Acaraú",4962,NA,746,3212,770,1714,7310,86416,31973,NA,2300200,842.471,65264,77.47,96.8,0.601,"2.06",315118554.15,292378502.3,16051.99,"CE"
4,"Acopiara",70894,NA,3273,21622,3243,5632,25559,1776537,229835,NA,2300309,2254.279,44962,19.95,97.2,0.595,"11.56",190923127.56,182118463.6,10322.74,"CE"
5,"Aiuaba",13500,NA,1048,6020,890,53852,66695,43876,15350,NA,2300408,2438.563,14076,5.77,97.5,0.569,"18.4",83290889.96,74991714.42,8621.26,"CE"
6,"Alcântaras",877,NA,51,4700,329,456,94,22538,8989,NA,2300507,135.76,11369,83.74,97.7,0.6,"-",61226904.05,58671506.67,8289.87,"CE"
7,"Altaneira",3362,NA,200,1870,187,270,450,16100,5980,NA,2300606,72.675,6782,93.32,95.7,0.602,"16.67",51295134.13,49420451.79,9680.24,"CE"
8,"Alto Santo",28482,NA,1206,7744,744,10438,21905,30561,12224,NA,2300705,1147.208,14155,12.34,96.5,0.601,"5.62",88684025.22,76914498.27,14447.21,"CE"
9,"Amontada",9994,NA,879,5114,820,5072,11577,70124,23365,NA,2300754,1175.044,42156,35.88,97,0.606,"9.12",216663029.68,214760946.3,15057.63,"CE"
10,"Antonina do Norte",4489,4,162,550,145,2241,5232,4195,1275,NA,2300804,259.706,7245,27.9,95.7,0.599,"-",48518444.83,41450344.7,10666.5,"CE"
11,"Apuiarés",4912,NA,385,4379,618,6667,10714,39800,13916,NA,2300903,543.98,12928,23.77,98.6,0.618,"14.39",63217066.72,60303265.43,8206.35,"CE"
12,"Aquiraz",8790,7,1095,17230,1780,890,5900,1415980,1030621,121100,2301000,480.236,80645,167.93,96.5,0.641,"13.1",474620527.45,481073826.2,47245.19,"CE"
13,"Aracati",6472,NA,654,5674,416,7234,17654,58764,27643,NA,2301109,1227.197,75113,61.21,98.5,0.655,"12.7",356146820.29,348682108.3,22637.56,"CE"
14,"Aracoiaba",10700,NA,800,3380,510,1400,3400,1234800,42090,NA,2301208,643.988,25553,39.68,96.5,0.615,"13.29",154393497.68,151436787,10015.85,"CE"
15,"Ararendá",5060,NA,135,4368,945,1540,6158,27184,11396,NA,2301257,342.301,11096,32.42,98.9,0.59,"19.61",74501593.65,67591117.75,9722.66,"CE"
16,"Araripe",17500,NA,750,3000,272,2400,7000,61200,30500,30,2301307,1097.339,19783,18.03,96.3,0.564,"10.07",113855494.96,110072870.3,9581.32,"CE"
17,"Aratuba",1600,NA,40,2000,190,350,980,30200,10400,NA,2301406,119.758,11224,93.72,97,0.622,"27.78",71961433.53,65150241.98,12896.07,"CE"
18,"Arneiroz",10670,NA,453,3330,586,33590,40870,18231,10938,NA,2301505,1068.437,7429,6.95,97.6,0.618,"-",43490555.85,39141383.41,8947.96,"CE"
19,"Assaré",26000,NA,1250,5200,570,3000,12000,55000,11900,NA,2301604,1155.124,21697,18.78,96.6,0.6,"7.72",127001198.25,116445961.2,10080.26,"CE"
20,"Aurora",29700,NA,590,8447,2956,4750,8776,84854,38372,NA,2301703,885.87,23714,26.77,97.9,0.605,"16.61",93646799.29,91139591.43,8824.53,"CE"
21,"Baixio",8740,NA,784,2552,350,1131,4642,24687,9438,NA,2301802,145.556,5704,39.19,97.9,0.627,"-",38992650.64,35647734.56,10690.19,"CE"
22,"Banabuiú",30018,NA,923,5210,623,13594,38945,52332,15229,NA,2301851,1080.986,17195,15.91,98,0.606,"4.93",106404075.78,97609183.9,14199.25,"CE"
23,"Barbalha",7443,NA,625,4434,448,1324,4180,138798,62400,500,2301901,608.158,75033,123.38,98.3,0.683,"12.6",467607661.69,431137277.8,21815.78,"CE"
24,"Barreira",4500,NA,516,2000,200,393,1360,291732,12903,NA,2301950,260.003,22392,86.12,97.8,0.616,"7.55",100875197.45,93054083.13,10566.4,"CE"
25,"Barro",101713,NA,2561,20967,7150,15892,27484,621607,176480,NA,2302008,711.346,19381,27.25,97.1,0.599,"19.32",78913510.19,74158389.01,10599.42,"CE"
26,"Barroquinha",1486,NA,165,6247,1155,1257,1200,21017,10892,NA,2302057,385.583,14567,37.78,97.9,0.571,"4.78",79538798.31,72036894.74,8848.31,"CE"
27,"Baturité",38588,6,2445,22848,2702,8349,16276,1532210,148623,650,2302107,314.075,35218,112.13,95.9,0.619,"13.51",173038242.64,165306745.4,12408.24,"CE"
28,"Beberibe",10731,27,1192,8385,816,5197,19094,4513278,3918816,NA,2302206,1596.751,53114,33.26,98.2,0.638,"15.82",226860613.06,232876490.3,19497.48,"CE"
29,"Bela Cruz",5784,NA,629,3546,1003,3005,7529,63478,19842,NA,2302305,842.106,32775,38.92,98.9,0.623,"11.24",121269558.67,113898778.5,9809.26,"CE"
30,"Boa Viagem",32894,NA,1429,10061,1817,8740,28602,77576,30383,NA,2302404,2835.037,50411,17.78,97.6,0.598,"10.62",307842133.33,280709815.6,9861.34,"CE"
