"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
1,"Adamantina",384764,482,5679,4885,862,766,5563,4275308,3553031,704500,3500105,411.987,34687,84.19,97.6,0.79,"10.5",286080113.63,274074871.2,38997.12,"SP"
2,"Adolfo",3569,125,115,259,45,NA,125,660,110,NA,3500204,211.055,4351,20.62,98.6,0.73,"-",46693392.52,41404998.46,32578.28,"SP"
3,"Aguaí",4350,130,220,2400,160,20,280,335000,85000,NA,3500303,474.554,32072,67.58,95.8,0.715,"8.11",171102182.66,161253061.8,35551.7,"SP"
4,"Águas da Prata",12800,NA,180,60,10,NA,45,3500,750,NA,3500402,142.673,7369,51.65,98.8,0.781,"14.49",52442167.71,50467736.77,25297.02,"SP"
5,"Águas de Lindóia",4519,9,400,40,10,61,478,63000,60,NA,3500501,60.126,17930,298.21,96.2,0.745,"4.69",147244937.01,144977225.8,30971.23,"SP"
6,"Águas de Santa Bárbara",9652,42,462,11897,67,2,600,678886,129253,NA,3500550,404.463,7177,17.74,98.2,0.757,"-",63890742.73,60798714.74,35378.64,"SP"
7,"Águas de São Pedro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3500600,3.612,2780,769.66,98.4,0.854,"-",55032678.85,48768862.63,41208.23,"SP"
8,"Agudos",30400,26,560,29000,140,42,760,223000,96600,NA,3500709,966.708,37680,38.98,97.9,0.745,"6.26",235647258.59,215917044.8,70209.74,"SP"
9,"Alambari",8365,1552,190,19100,1160,19,180,397873,4926,NA,3500758,159.6,6141,38.48,99.3,0.712,"-",42092575.62,40574557.43,20765.46,"SP"
10,"Alfredo Marcondes",24739,67,615,445,200,38,395,2050,1515,NA,3500808,118.915,4445,37.38,98.6,0.741,"-",36036979.4,30826665.26,28649.11,"SP"
11,"Altair",38520,7,1175,2320,650,55,592,5850,1300,NA,3500907,313.007,3451,11.03,96,0.687,"25",38144937.48,34653445.74,26662.17,"SP"
12,"Altinópolis",18000,NA,960,420,42,972,400,460000,48000,NA,3501004,928.956,16818,18.1,99.3,0.73,"5.49",108861525.74,104303207.5,51377.61,"SP"
13,"Alto Alegre",24381,7,536,357,130,58,174,4697,2243,NA,3501103,318.574,3841,12.06,95.1,0.7,"68.97",41467364.95,38291266.07,27853.08,"SP"
14,"Alumínio",780,NA,175,90,NA,85,75,NA,NA,NA,3501152,83.619,17301,206.9,98.8,0.766,"10.99",165607002.73,160540506.1,210670.96,"SP"
15,"Álvares Florence",44203,NA,820,850,200,NA,500,1400000,16500,NA,3501202,362.411,3915,10.8,99.3,0.728,"-",38507057.27,34739096.72,34389.1,"SP"
16,"Álvares Machado",52647,225,1255,1750,455,95,595,7300,3250,NA,3501301,347.647,27255,78.4,98.3,0.758,"12.08",121660915.06,112684450.9,28306.72,"SP"
17,"Álvaro de Carvalho",11115,NA,205,25,5,12,58,95,25,NA,3501400,153.662,4808,31.29,99.2,0.688,"-",30127725.32,29375137.28,11012.49,"SP"
18,"Alvinlândia",6225,1,107,12,NA,NA,215,NA,NA,NA,3501509,84.879,2885,33.99,99.3,0.722,"-",29793502.93,25805885.28,17965.24,"SP"
19,"Americana",815,NA,35,NA,NA,NA,NA,NA,NA,NA,3501608,133.912,237240,1771.61,98,0.811,"9.41",1310295459.85,1299555473,62271.47,"SP"
20,"Américo Brasiliense",235,NA,35,100,20,NA,NA,1075,715,NA,3501707,122.958,33019,268.54,98.6,0.751,"14.2",176163207.94,177341484.1,29617.13,"SP"
21,"Américo de Campos",22957,NA,255,500,110,NA,120,3e+05,7500,NA,3501806,252.876,5870,23.21,98.2,0.745,"-",44216495.23,41428514.22,21158.4,"SP"
22,"Amparo",113293,842,7259,14822,1849,598,6700,7444343,521560,NA,3501905,445.323,68008,152.72,95.7,0.785,"9.83",487747723.05,477933742.4,70437.56,"SP"
23,"Analândia",11300,450,600,2500,500,NA,50,294000,143000,NA,3502002,325.953,4589,14.08,99.7,0.754,"18.87",53032684.32,51786190.31,40726.1,"SP"
24,"Andradina",418973,395,9879,22900,2785,643,8245,951826,838721,NA,3502101,964.226,59783,62,98.2,0.779,"8.59",289283614.41,278663210.4,49703.65,"SP"
25,"Angatuba",44366,115,950,4750,200,50,580,2293210,782590,NA,3502200,1027.288,24022,23.38,98.3,0.719,"9.35",155271492.32,162126152.7,57306.48,"SP"
26,"Anhembi",32250,51,150,2000,500,150,1500,60000,NA,NA,3502309,736.557,5674,7.7,97.2,0.721,"30.3",55836417.23,55483602.5,24534.54,"SP"
27,"Anhumas",26925,49,490,680,102,56,200,12100,4110,NA,3502408,320.84,4023,12.54,98.3,0.741,"20",40830605.04,37562789.05,25316.58,"SP"
28,"Aparecida",4586,150,275,280,65,25,50,700,360,NA,3502507,120.89,32569,269.41,98.4,0.755,"12.23",204394077.66,213536197.2,28750.03,"SP"
29,"Aparecida d'Oeste",22100,NA,165,556,164,30,189,2939,982,NA,3502606,179.004,4086,22.83,97.7,0.721,"-",37925299.92,38866903.62,36763.62,"SP"
30,"Apiaí",5965,476,2090,1000,150,200,500,25000,11000,NA,3502705,974.322,24585,25.23,97.3,0.71,"-",131510593.29,121039914.4,37278.88,"SP"
31,"Araçariguama",2000,NA,150,110,NA,10,352,NA,NA,NA,3502754,145.204,21522,148.22,98.2,0.704,"14.2",221444693.06,236492356.3,206250.44,"SP"
32,"Araçatuba",1017167,921,23775,34465,6547,1977,28820,4217608,3478489,281435,3502804,1167.126,200124,171.47,97.6,0.788,"13.91",979569762.43,859862855.6,45268.6,"SP"
33,"Araçoiaba da Serra",4600,277,2000,10000,NA,100,20,78000,400,NA,3502903,255.305,32443,127.08,99.4,0.776,"-",204561588.95,219710112,34075.1,"SP"
34,"Aramina",1753,NA,183,505,132,5,96,87305,2522,34,3503000,202.829,5420,26.72,98.7,0.74,"33.33",40486505.88,41531394.88,26415.31,"SP"
35,"Arandu",9456,2,840,16640,14,10,845,2480,1180,NA,3503109,285.908,6885,24.08,98.4,0.685,"25.97",53197142.55,58076898.12,30569.27,"SP"
36,"Arapeí",7600,130,285,120,23,130,108,2100,900,430,3503158,156.903,2330,14.85,98.7,0.68,"-",37002710.98,39819289.79,18584.03,"SP"
37,"Araraquara",202073,2135,5804,23345,4224,990,6525,9592680,1863306,NA,3503208,1003.625,242228,241.35,98.7,0.815,"6.4",1536427548.64,1521074816,49692.93,"SP"
38,"Araras",7992,NA,492,2053,NA,NA,1531,NA,NA,NA,3503307,644.831,130866,202.95,97.5,0.781,"9.76",855202935.89,892353253.2,50772.4,"SP"
39,"Arco-Íris",20776,110,300,110,65,15,440,530,170,NA,3503356,264.904,2044,7.72,99.1,0.722,"-",30366963.62,25803609.09,35382.28,"SP"
40,"Arealva",37583,66,1000,12000,820,11,442,510000,89000,NA,3503406,506.226,8130,16.06,99.6,0.744,"20.62",54103645.98,51714562.8,26206.9,"SP"
41,"Areias",16500,137,360,142,25,140,920,1500,760,NA,3503505,305.227,3577,11.72,96.8,0.697,"-",48672873.97,51528796.21,14877.99,"SP"
42,"Areiópolis",277,NA,NA,NA,NA,NA,NA,NA,NA,NA,3503604,85.907,10130,117.92,97.3,0.695,"16.67",58475463.02,50713329.42,14577.19,"SP"
43,"Ariranha",295,NA,26,40,7,NA,35,142500,320,NA,3503703,132.624,7602,57.32,99.6,0.733,"-",69870850.02,63362117.67,115410.74,"SP"
44,"Artur Nogueira",6712,40,250,1600,300,94,203,353000,77606,NA,3503802,178.026,51456,289.04,98.3,0.749,"3.27",273541873.55,287794746.1,30610.29,"SP"
45,"Arujá",225,12,106,NA,NA,NA,90,280,265,NA,3503901,96.167,86678,901.33,98.2,0.784,"6.06",575898129.67,585147148.9,89703.63,"SP"
46,"Aspásia",7050,NA,132,295,70,NA,35,2378,610,NA,3503950,69.373,1842,26.55,97.1,0.735,"-",27343253.6,21880153.12,21788.35,"SP"
47,"Assis",430888,954,10862,120351,9325,1485,12138,2537696,1760168,197750,3504008,460.609,101409,220.16,98.9,0.805,"12.46",555176557.99,564584304.8,38598.78,"SP"
48,"Atibaia",12500,18,2250,NA,NA,450,1000,110000,2100,NA,3504107,478.521,158647,331.54,97.3,0.765,"8.03",1142297729.42,1121394897,57512.36,"SP"
49,"Auriflama",210545,384,3725,5012,1338,560,2739,943220,10344,NA,3504206,434.498,13692,31.51,98.8,0.773,"13.99",82442704.54,71596024.23,23409.76,"SP"
50,"Avaí",35558,3,530,250,33,NA,366,31350,1800,NA,3504305,540.689,4483,8.29,99.4,0.714,"40.54",44804157.35,45359812.12,68793.46,"SP"
51,"Avanhandava",9008,NA,139,485,130,74,476,2197,873,NA,3504404,338.37,11263,33.29,97.2,0.705,"8.62",72988974.26,70466171.25,14178.27,"SP"
52,"Avaré",148023,660,8875,185720,9623,275,4690,3965077,1581699,NA,3504503,1213.055,92805,76.51,97.9,0.767,"17.48",482858670.24,483852554.9,35721.22,"SP"
53,"Bady Bassitt",9875,45,525,1380,475,63,1120,298000,3730,NA,3504602,110.372,27260,246.98,98.5,0.746,"8.88",141577918.4,154097398.2,30636.12,"SP"
54,"Balbinos",2728,15,87,332,48,48,201,1210,403,NA,3504701,91.635,3887,42.42,98.9,0.669,"-",26368867.21,23014159.68,10674.14,"SP"
55,"Bálsamo",9850,NA,408,280,118,20,215,111000,23500,NA,3504800,149.881,9596,64.02,99,0.756,"-",56998822.71,54995429.27,30257.55,"SP"
56,"Bananal",91500,1397,2558,1662,375,607,1653,10450,4150,430,3504909,616.429,9969,16.17,97.1,0.733,"-",68894590.63,67036850.34,19568.66,"SP"
57,"Barão de Antonina",9800,20,450,300,30,180,180,3000,300,NA,3505005,153.142,3531,23.06,100,0.711,"-",34552852.07,28879114.24,21264.23,"SP"
58,"Barbosa",8867,34,173,407,52,31,146,2593,827,NA,3505104,205.212,5640,27.48,98.4,0.699,"25.97",45266244.09,43106693.17,14488.16,"SP"
59,"Bariri",17322,1340,220,2170,200,30,200,970961,1760,NA,3505203,444.405,31595,71.1,96.3,0.75,"11.73",173279240.85,173029939.5,45290.86,"SP"
60,"Barra Bonita",401,NA,35,40,7,NA,5,1000,245,NA,3505302,150.121,34346,228.79,99.8,0.788,"16.39",215057439.13,213070578.5,41955.79,"SP"
61,"Barra do Chapéu",2238,186,2500,600,60,150,150,16500,2600,NA,3505351,405.681,5179,12.77,96.9,0.66,"11.49",42610971.46,40025899.1,23082.16,"SP"
62,"Barra do Turvo",8670,15600,460,410,70,100,550,2400,2000,NA,3505401,1007.684,6876,6.82,95.6,0.641,"17.54",60345082.74,56221789.71,16542.32,"SP"
63,"Barretos",75755,36,3540,16297,1281,136,1993,280792,14537,NA,3505500,1566.161,122485,78.21,97.8,0.789,"12.93",979994224.94,1086979265,47783.95,"SP"
64,"Barrinha",365,NA,23,20,6,NA,24,285,256,NA,3505609,146.025,32092,219.77,97.5,0.725,"7.92",149991558.27,146377793,18630.66,"SP"
65,"Barueri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3505708,65.701,316473,4816.87,97.8,0.786,"7.45",4950967905.41,4703546013,207460.98,"SP"
66,"Bastos",19623,NA,250,30,20,20,45,12550420,10475500,210000,3505807,170.912,21503,125.81,98.5,0.751,"7.52",128154189.95,117874133.3,50936.28,"SP"
67,"Batatais",106600,162,4240,10770,1412,1240,2480,2852000,208500,1050,3505906,849.526,58402,68.75,97.7,0.761,"16.1",317917378.44,314669142.1,38097.08,"SP"
68,"Bauru",1086853,5175,35999,264958,17541,2369,35213,26250007,4970807,NA,3506003,667.684,379146,567.85,96.9,0.801,"9.97",1807245548.35,1986946253,43806.93,"SP"
69,"Bebedouro",12750,19,850,1100,275,180,800,283000,3600,NA,3506102,683.192,76373,111.79,98.5,0.78,"11.46",456948769.84,477287928.3,52575.43,"SP"
70,"Bento de Abreu",13867,50,1100,300,102,NA,800,3100,1500,NA,3506201,301.687,2606,8.64,97.9,0.744,"-",37969973.56,32645887.89,69504.55,"SP"
71,"Bernardino de Campos",7617,NA,200,1600,220,80,130,3500,1000,NA,3506300,244.158,11607,47.54,98.3,0.734,"-",68194050.75,63179998.07,33842.25,"SP"
72,"Bertioga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3506359,491.546,64188,130.58,98.1,0.73,"16.77",1001472338.04,954137770.8,31255.51,"SP"
73,"Bilac",13354,NA,380,202,16,NA,895,NA,NA,NA,3506409,158.025,7319,46.32,99,0.768,"46.88",57746217.7,53310247.72,35693.15,"SP"
74,"Birigui",284085,155,5499,5925,1427,716,4565,185252,59448,NA,3506508,530.031,118979,224.48,98,0.78,"13.48",589614160.07,615993968.2,31305.12,"SP"
75,"Biritiba Mirim",732,14,365,80,8,60,135,285827,234417,31,3506607,317.406,29683,93.52,97.7,0.712,"2.79",143188092.87,139474918.4,29190.32,"SP"
76,"Boa Esperança do Sul",12957,6,145,480,155,50,145,232000,45000,NA,3506706,690.748,12978,18.79,96,0.681,"11.49",90356347.45,88681432.64,25197.09,"SP"
77,"Bocaina",13140,325,250,320,32,40,180,65600,220,NA,3506805,363.926,11259,30.94,99.3,0.742,"24.19",75234075.38,70697734.15,22429.71,"SP"
78,"Bofete",36050,315,1300,NA,NA,80,4000,9e+05,19750,NA,3506904,653.541,10460,16.01,95.1,0.705,"8.26",72485560.2,70297242.73,17546.39,"SP"
79,"Boituva",14500,180,1800,12200,470,NA,NA,6e+05,80,NA,3507001,248.954,61081,245.35,98.7,0.78,"13.92",391042085.94,394639257.3,53597.04,"SP"
80,"Bom Jesus dos Perdões",2400,NA,280,NA,NA,90,1100,900,NA,NA,3507100,108.366,22006,203.07,97.7,0.713,"10.07",144261232.08,134596335.4,55196.42,"SP"
81,"Bom Sucesso de Itararé",950,NA,120,70,10,25,450,2000,850,NA,3507159,133.578,3555,26.61,98.3,0.66,"-",30642885.01,28310475.81,15912.41,"SP"
82,"Borá",6000,NA,152,50,16,9,60,360,200,NA,3507209,118.951,907,7.62,94.6,0.746,"-",23356682.86,20812939.16,88432.72,"SP"
83,"Boracéia",2590,NA,30,88,9,NA,213,524500,200,NA,3507308,122.11,4715,38.61,99.3,0.754,"-",41026111.62,34286655.84,105669.34,"SP"
84,"Borborema",12900,NA,260,1200,190,90,250,312500,3200,NA,3507407,552.256,14226,25.76,98.3,0.73,"29.2",99657452.41,100489624.2,31833.29,"SP"
85,"Borebi",3291,65,228,500,67,25,70,1700,800,NA,3507456,347.989,2713,7.8,99.5,0.705,"-",40350448.19,39097246.75,27255.19,"SP"
86,"Botucatu",195175,740,6355,11740,2800,630,15000,15195000,1948575,NA,3507506,1482.642,145155,97.9,97.8,0.8,"9.6",715906667.34,706875948.5,39937.48,"SP"
87,"Bragança Paulista",137305,809,15363,25035,2659,3147,12046,3377250,150930,600,3507605,512.584,176811,344.94,97,0.776,"11.98",938185050.24,890811524.7,46153.09,"SP"
88,"Braúna",10183,NA,198,560,172,NA,83,2251,854,NA,3507704,195.176,5356,27.44,98.6,0.737,"-",39729493.95,35440229.45,20826.02,"SP"
89,"Brejo Alegre",5014,NA,20,150,50,NA,NA,NA,NA,NA,3507753,105.689,2565,24.27,95.9,0.71,"41.67",29485261.76,29459293.47,25996.26,"SP"
90,"Brodowski",14000,580,450,800,200,NA,320,9e+05,250000,NA,3507803,278.458,25201,90.5,97.5,0.755,"7.41",177614502.33,148280529.3,34947.5,"SP"
91,"Brotas",24456,47,840,33000,2175,7,620,700300,242938,NA,3507902,1101.373,23898,21.7,99.1,0.74,"7.66",185787227.99,184191865.5,45209.02,"SP"
92,"Buri",20471,145,450,300,130,100,3000,150000,75000,NA,3508009,1196.463,20250,16.92,98.5,0.667,"10.42",131675256.47,120832055,34121.21,"SP"
93,"Buritama",28190,NA,600,NA,NA,NA,300,NA,NA,NA,3508108,326.921,17210,52.64,96.7,0.763,"-",123607995.07,118585259.3,36037.97,"SP"
94,"Buritizal",11102,NA,355,558,109,21,136,145639,2722,60,3508207,266.42,4356,16.35,99.4,0.735,"20",54174760.57,49288568.52,53769.11,"SP"
95,"Cabrália Paulista",12950,NA,187,310,85,38,400,496308,360161,NA,3508306,239.974,4299,17.91,97.5,0.694,"-",35667925.32,32070056.92,24368.03,"SP"
96,"Cabreúva",7300,NA,315,15,3,75,150,2958200,1400,NA,3508405,260.234,47011,180.65,97.3,0.738,"19.15",384962152.98,387999555.2,116591.7,"SP"
97,"Caçapava",25000,NA,1000,NA,NA,NA,300,NA,NA,NA,3508504,368.99,96202,260.72,98,0.788,"7.41",448548594.67,429111911.2,54458.95,"SP"
98,"Cachoeira Paulista",29215,101,756,340,70,132,943,2480,880,NA,3508603,287.99,31564,109.6,98,0.764,"26.55",128673823.13,118856689.9,19914.05,"SP"
99,"Caconde",30500,130,350,1000,90,100,280,50000,3000,NA,3508702,468.214,17101,36.52,97.7,0.72,"5.85",88990955.81,81192251.17,30182.07,"SP"
100,"Cafelândia",37617,211,816,2517,446,83,1287,35100,202,NA,3508801,920.28,16654,18.1,96.7,0.742,"27.17",109637831.73,105973752.6,38094.8,"SP"
101,"Caiabu",22412,9,515,290,95,NA,150,7750,2315,NA,3508900,253.352,3712,14.65,98.9,0.729,"27.03",35560834.51,34349611.01,16640.38,"SP"
102,"Caieiras",13,NA,52,9,NA,9,NA,NA,NA,NA,3509007,97.642,95032,973.27,94.8,0.781,"17.72",502542465.23,461168430.8,46700.03,"SP"
103,"Caiuá",69048,NA,1270,1480,280,150,1130,11900,4050,180,3509106,551.159,5466,9.92,99.3,0.697,"-",47853699.04,49376962.93,15997.16,"SP"
104,"Cajamar",138,13,30,96,30,20,NA,1347,1200,NA,3509205,131.386,92689,705.47,96.5,0.728,"14.64",1102752938.07,1014461015,287384.67,"SP"
105,"Cajati",6200,380,500,1000,150,80,800,NA,NA,NA,3509254,454.436,28515,62.75,98.4,0.694,"9.26",206663628.93,188161139.1,61714.65,"SP"
106,"Cajobi",3200,NA,185,410,135,13,270,2200,650,NA,3509304,176.929,9133,51.62,99.7,0.734,"-",59154197.9,53115612.71,16049.99,"SP"
107,"Cajuru",27000,70,1000,1500,150,100,500,150000,10000,800,3509403,660.088,23830,36.1,97.1,0.713,"17.29",118783518.18,106395738.9,28623.2,"SP"
108,"Campina do Monte Alegre",4558,18,210,320,41,36,80,582827,3423,NA,3509452,184.479,5954,32.27,97.5,0.717,"13.89",43566386.43,44767763.92,24817.17,"SP"
109,"Campinas",615097,3123,39709,166991,16856,7916,25937,29069752,4128998,93300,3509502,794.571,1139047,1433.54,96,0.805,"10.12",8041627842.1,8324596130,59634.21,"SP"
110,"Campo Limpo Paulista",259,NA,118,60,22,31,19,1020,244,NA,3509601,79.403,77632,977.7,96.7,0.769,"5.93",412894684.53,426017175.7,29291.03,"SP"
111,"Campos do Jordão",30755,565,3346,1696,382,172,542,11515,4735,NA,3509700,289.981,46974,161.99,97.1,0.749,"9.92",366428674.66,340453978.9,27503.81,"SP"
112,"Campos Novos Paulista",12200,16,340,980,210,30,380,5300,3200,NA,3509809,484.199,4888,10.1,97.9,0.706,"21.28",49978294.09,47036624.87,38724.17,"SP"
113,"Cananéia",780,460,30,100,10,NA,NA,2000,1500,NA,3509908,1237.354,12289,9.93,97.3,0.72,"29.41",88207890.39,110747572.1,21082,"SP"
114,"Canas",3877,NA,115,45,10,55,13,900,350,NA,3509957,53.261,4931,92.58,98.3,0.704,"16.13",37264951.21,37543598.5,24688.77,"SP"
115,"Cândido Mota",4800,NA,200,3000,400,14,330,2e+05,750,NA,3510005,595.811,29449,49.43,98.2,0.747,"3.32",185592486.13,196628222.8,48339.61,"SP"
116,"Cândido Rodrigues",536,NA,62,490,98,21,38,95070,1110,NA,3510104,70.892,2889,40.75,99,0.789,"-",34436545.59,32099127.24,38184.58,"SP"
117,"Canitar",1400,NA,30,70,9,NA,NA,1000,100,NA,3510153,57.459,6283,109.35,96.1,0.68,"10",40902412.61,37784537.37,30627.93,"SP"
118,"Capão Bonito",67496,5800,10184,14077,2114,1962,3436,245140,71790,250,3510203,1640.229,46337,28.25,98.7,0.721,"10.81",281809503.85,262812647.8,26945.89,"SP"
119,"Capela do Alto",9400,250,40,32000,3500,NA,20,1050000,90000,NA,3510302,169.89,22866,134.59,96.5,0.699,"16.95",118559526.74,122018772,18457.62,"SP"
120,"Capivari",5227,37,180,40700,1670,NA,NA,991100,174421,NA,3510401,322.878,50068,155.07,97.3,0.75,"17.7",366480523.66,360777281.1,52495.21,"SP"
121,"Caraguatatuba",7605,152,184,222,35,129,53,2000,1200,NA,3510500,484.947,134873,278.12,97.7,0.759,"10.56",1158998987.06,1180755505,36201.7,"SP"
122,"Carapicuíba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3510609,34.546,386984,11201.99,96.2,0.749,"18.35",1007656158.52,989328283,16909.54,"SP"
123,"Cardoso",50944,14,860,60,14,22,230,250000,2250,NA,3510708,639.248,11345,17.75,96.8,0.722,"-",81487255.73,78887320.5,25957.47,"SP"
124,"Casa Branca",15190,80,580,2500,200,120,450,850000,20000,NA,3510807,864.225,28083,32.5,96.9,0.73,"13.7",175021831.97,166294315.8,38464.9,"SP"
125,"Cássia dos Coqueiros",15000,80,500,1500,350,40,500,1e+06,15000,200,3510906,191.683,2799,14.6,99.5,0.734,"-",32157272.55,30830005.98,117809.94,"SP"
126,"Castilho",62053,24,1800,600,80,41,956,11000,10000,NA,3511003,1065.318,19977,18.75,99.1,0.731,"5.15",165558581.98,163630889.9,64508.48,"SP"
127,"Catanduva",31925,134,1899,5147,1054,286,1638,702050,63465,45,3511102,290.596,115791,398.46,98.1,0.785,"8.39",709798842.43,761056283,42386.42,"SP"
128,"Catiguá",1020,NA,155,107,15,90,100,38000,670,NA,3511201,148.393,7003,47.19,98.4,0.751,"33.33",39502050.36,35484222.24,19342.42,"SP"
129,"Cedral",14167,290,520,988,248,120,550,790000,6970,NA,3511300,197.838,12618,63.78,98.7,0.766,"7.3",86622056.16,82872270.15,56401.2,"SP"
130,"Cerqueira César",18599,365,237,94295,8738,NA,80,6400,1425,NA,3511409,511.621,21469,41.96,98.2,0.729,"27.27",118573099.9,105400120.7,46928.25,"SP"
131,"Cerquilho",9300,150,400,19,NA,NA,NA,5e+06,38000,NA,3511508,127.803,44695,349.72,99.6,0.782,"-",271813901,274239585,46293.89,"SP"
132,"Cesário Lange",10400,50,350,138,NA,NA,40,2e+06,NA,NA,3511607,190.392,19048,100.05,96.3,0.706,"21.01",108539953.49,98556386.25,39826.25,"SP"
133,"Charqueada",7410,28,173,298,51,51,129,285700,1020,NA,3511706,175.846,15535,88.34,97.9,0.736,"10.42",89943405.43,87974698.93,29370.12,"SP"
134,"Chavantes",1900,30,105,350,80,50,80,1000,750,150,3557204,188.727,12211,64.7,98.6,0.729,"21.74",68861543.65,67976116.6,21448.28,"SP"
135,"Clementina",17665,1,164,319,55,NA,55,544,240,NA,3511904,168.59,6982,41.41,98,0.725,"11.36",46812597.12,41747294.86,20959.14,"SP"
136,"Colina",14687,NA,858,15640,1167,13,372,266500,872,NA,3512001,422.303,18486,43.77,98.4,0.757,"9.17",155459986.7,143894492.5,82881.19,"SP"
137,"Colômbia",13287,NA,441,182,59,8,873,1272,645,NA,3512100,728.648,6629,9.1,99.2,0.71,"25.32",82671746.94,77499747.77,59974.07,"SP"
138,"Conchal",1975,NA,270,3500,70,135,220,339200,124300,NA,3512209,182.793,28101,153.73,96.7,0.708,"19.37",191732743.52,174884120.6,30159.5,"SP"
139,"Conchas",66980,119,1355,1940,200,NA,1600,5e+06,NA,NA,3512308,466.12,15232,32.68,97.6,0.736,"11.7",97450424.1,91594685.48,23872.16,"SP"
140,"Cordeirópolis",768,NA,102,3400,810,NA,190,126090,25540,NA,3512407,137.579,24514,178.18,96.7,0.758,"23.89",305022894.54,278499074.7,163554.17,"SP"
141,"Coroados",11500,13,290,NA,NA,NA,NA,NA,NA,NA,3512506,246.825,5400,21.88,98.3,0.719,"-",43261304.46,37271480.88,35303.73,"SP"
142,"Coronel Macedo",14900,220,250,21800,2100,70,700,3500,950,NA,3512605,303.83,4280,14.09,99.1,0.69,"48.78",45652756.36,39988842.69,30746.6,"SP"
143,"Corumbataí",17850,160,481,278,118,186,362,1075085,284930,NA,3512704,278.622,4195,15.06,97,0.754,"25",45770087.96,41228235.61,84731.24,"SP"
144,"Cosmópolis",1600,NA,62,331,46,NA,NA,1100,500,NA,3512803,154.665,59773,386.47,98,0.769,"12.99",318051685.34,340010328.2,28255.87,"SP"
145,"Cosmorama",28238,5,500,510,95,130,480,360000,28000,NA,3512902,441.68,8719,19.74,97.9,0.722,"19.61",63899691.72,62936973.04,69530.67,"SP"
146,"Cotia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3513009,323.994,274413,846.97,97.5,0.78,"14.9",1595488305.43,1501408436,62486.58,"SP"
147,"Cravinhos",5000,NA,480,40,10,NA,1900,40000,35000,800,3513108,311.423,33281,106.87,98.1,0.756,"22.22",239771749.45,228374353.6,48891.09,"SP"
148,"Cristais Paulista",21700,237,570,650,190,28,300,147000,NA,NA,3513207,385.23,9272,24.07,98.2,0.734,"9.17",59444293.68,55214827.05,39369.07,"SP"
149,"Cruzália",850,NA,95,160,43,32,66,860,190,NA,3513306,149.33,2108,14.12,97.8,0.774,"-",34584095.08,31370404.22,68116.76,"SP"
150,"Cruzeiro",17825,253,518,260,57,140,150,825,430,NA,3513405,305.699,74961,245.21,97.6,0.788,"14.05",353062672.81,380282259.4,38390.41,"SP"
151,"Cubatão",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3513504,142.879,112476,787.21,98,0.737,"14.17",1682937465.34,1654562626,165607.5,"SP"
152,"Cunha",129708,245,5250,4250,1025,145,1215,26250,13250,NA,3513603,1407.25,22110,15.71,98,0.684,"8.3",114835575.16,114975421.2,15269.84,"SP"
153,"Descalvado",25950,230,520,8500,1450,50,520,2120000,695300,NA,3513702,753.706,31756,42.13,98.6,0.76,"13.94",202047067.47,194187335.7,61036.51,"SP"
154,"Diadema",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3513801,30.732,393237,12795.69,96.8,0.757,"12.99",1862803199.59,1937982169,43031.91,"SP"
155,"Dirce Reis",11020,NA,135,500,139,NA,156,2210,393,NA,3513850,88.133,1620,18.38,100,0.741,"-",28282006.28,26193333.61,38685.19,"SP"
156,"Divinolândia",23200,8,290,600,85,50,150,53000,1000,NA,3513900,223.749,11158,49.87,98.6,0.734,"-",69817331.43,70537348.95,44568.55,"SP"
157,"Dobrada",735,NA,49,201,40,NA,200,805,131,NA,3514007,149.729,8759,58.5,99.5,0.718,"-",42125194.46,42923623.87,15286.82,"SP"
158,"Dois Córregos",14630,99,195,300,36,9,250,874415,44229,NA,3514106,632.972,24510,38.72,96.7,0.725,"3.69",156306567.25,144444351.9,30150.85,"SP"
159,"Dolcinópolis",5380,NA,80,170,42,15,42,1150,368,NA,3514205,77.939,2207,28.32,100,0.742,"-",29281135.94,27039265.55,27963.37,"SP"
160,"Dourado",11300,210,190,90,7,NA,95,445000,86200,NA,3514304,205.874,8096,39.33,100,0.738,"-",61644676.71,57308651.15,90318.49,"SP"
161,"Dracena",145620,165,3010,7915,1254,528,2938,73060,40500,NA,3514403,487.688,45474,93.24,98.2,0.776,"10.02",227943931.38,251146932.9,30557.62,"SP"
162,"Duartina",23500,NA,325,150,40,50,300,113000,6000,NA,3514502,264.557,12328,46.6,98.3,0.748,"7.41",72260402.85,68871046.93,20338.59,"SP"
163,"Dumont",332,NA,50,24,8,7,82,1116,750,NA,3514601,111.376,9471,85.04,97.6,0.744,"-",64881045.79,62596384.61,33647.69,"SP"
